Source,Target,Total_TEU_Capacity,Total_Length,Total_DWT,Total_Count,0-10000,10001-15000,15001-40000,40001-80000,80001-120000,120001-200000,200001+,Source_Country,Target_Country,Source_Region,Target_Region
's-Gravendeel,'s-Gravendeel,905,138.15,10316.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Netherlands,EU,EU
's-Gravendeel,Amsterdam,1800,171.9,24502.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Netherlands,Netherlands,EU,EU
's-Gravendeel,Antwerpen,25800,571.89,249907.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Netherlands,Belgium,EU,EU
's-Gravendeel,Bergambacht,1800,171.9,24502.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Netherlands,Netherlands,EU,EU
's-Gravendeel,Bremerhaven,905,138.15,10316.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Germany,EU,EU
's-Gravendeel,Gohyeon/Geoje,15000,366.0,160000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Netherlands,South Korea,EU,Northeast Asia
's-Gravendeel,Moerdijk,508,101.13,5212.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Netherlands,EU,EU
's-Gravendeel,Rotterdam,23060,1450.38,250592.0,9.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,Netherlands,Netherlands,EU,EU
Aalborg,Aalborg,2150,179.4,25726.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Denmark,Denmark,EU,EU
Aalborg,Aarhus,25720,3018.24,331063.0,20.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,Denmark,Denmark,EU,EU
Aalborg,Asnaesvaerkets Havn,3950,658.47,49232.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,Denmark,Denmark,EU,EU
Aalborg,Bilbao,767,152.65,9570.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Spain,EU,EU
Aalborg,Bremerhaven,28538,4480.0599999999995,378688.0,33.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,Denmark,Germany,EU,EU
Aalborg,Brunsbuttel,1508,267.44,19215.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Denmark,Germany,EU,EU
Aalborg,Cape Town,606,114.4,8438.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,South Africa,EU,Southean Africa
Aalborg,Drammen,862,134.44,11269.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Denmark,Norway,EU,EU
Aalborg,Eemshaven,9971,1984.45,124410.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Netherlands,EU,EU
Aalborg,Esbjerg,21476,4274.2,267960.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Denmark,EU,EU
Aalborg,Fowey,411,111.24,6272.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,U.K.,EU,EU
Aalborg,Fredericia,21486,3254.2,280093.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,Denmark,Denmark,EU,EU
Aalborg,Frederikshavn,2735,598.85,38080.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Denmark,EU,EU
Aalborg,Fredrikstad,6828,1088.01,79981.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Denmark,Norway,EU,EU
Aalborg,Goteborg,22497,3399.84,293092.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,Denmark,Sweden,EU,EU
Aalborg,Halmstad,1724,268.88,22538.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Denmark,Sweden,EU,EU
Aalborg,Halsvik,767,152.65,9570.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Norway,EU,EU
Aalborg,Hamburg,39712,6224.05,518214.0,45.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,Denmark,Germany,EU,EU
Aalborg,Hanstholm,3068,610.6,38280.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Denmark,EU,EU
