Source,Target,Total_TEU_Capacity,Source_Country,Target_Country
's-Gravendeel,'s-Gravendeel,905,Netherlands,Netherlands
's-Gravendeel,Amsterdam,1800,Netherlands,Netherlands
's-Gravendeel,Antwerpen,25800,Netherlands,Belgium
's-Gravendeel,Bergambacht,1800,Netherlands,Netherlands
's-Gravendeel,Bremerhaven,905,Netherlands,Germany
's-Gravendeel,Gohyeon/Geoje,15000,Netherlands,South Korea
's-Gravendeel,Moerdijk,508,Netherlands,Netherlands
's-Gravendeel,Rotterdam,23060,Netherlands,Netherlands
Aalborg,Aalborg,2150,Denmark,Denmark
Aalborg,Aarhus,25720,Denmark,Denmark
Aalborg,Asnaesvaerkets Havn,3950,Denmark,Denmark
Aalborg,Bilbao,767,Denmark,Spain
Aalborg,Bremerhaven,28538,Denmark,Germany
Aalborg,Brunsbuttel,1508,Denmark,Germany
Aalborg,Cape Town,606,Denmark,South Africa
Aalborg,Drammen,862,Denmark,Norway
Aalborg,Eemshaven,9971,Denmark,Netherlands
Aalborg,Esbjerg,21476,Denmark,Denmark
Aalborg,Fowey,411,Denmark,U.K.
Aalborg,Fredericia,21486,Denmark,Denmark
Aalborg,Frederikshavn,2735,Denmark,Denmark
Aalborg,Fredrikstad,6828,Denmark,Norway
Aalborg,Goteborg,22497,Denmark,Sweden
Aalborg,Halmstad,1724,Denmark,Sweden
Aalborg,Halsvik,767,Denmark,Norway
Aalborg,Hamburg,39712,Denmark,Germany
Aalborg,Hanstholm,3068,Denmark,Denmark
Aalborg,Helsingborg,198821,Denmark,Sweden
Aalborg,Holtenau,646,Denmark,Germany
Aalborg,Hull,3068,Denmark,U.K.
Aalborg,Kalundborg,3448,Denmark,Denmark
Aalborg,Kobenhavn,8105,Denmark,Denmark
Aalborg,Kristiansand,32960,Denmark,Norway
Aalborg,Larvik,22454,Denmark,Norway
Aalborg,Lindo,4602,Denmark,Denmark
Aalborg,Moss,5142,Denmark,Norway
Aalborg,Murmansk,411,Denmark,Russia
Aalborg,Nerlerit Innat,1212,Denmark,Greenland
Aalborg,Nuuk (Godthaab),10530,Denmark,Greenland
Aalborg,Reykjavik,10418,Denmark,Iceland
Aalborg,Ronne,13806,Denmark,Denmark
Aalborg,Rotterdam,28487,Denmark,Netherlands
Aalborg,Skagen,9928,Denmark,Denmark
Aalborg,Tasiilaq,1212,Denmark,Greenland
Aalst,Antwerpen,30000,Belgium,Belgium
Aalst,Rotterdam,15000,Belgium,Netherlands
Aarhus,Aalborg,200851,Denmark,Denmark
Aarhus,Aarhus,277150,Denmark,Denmark
Aarhus,Antwerpen,279572,Denmark,Belgium
Aarhus,Asnaesvaerkets Havn,23416,Denmark,Denmark
Aarhus,Bremerhaven,5059425,Denmark,Germany
Aarhus,Bronka Port,94076,Denmark,Russia
Aarhus,Brunsbuttel,15188,Denmark,Germany
Aarhus,Drammen,2710,Denmark,Norway
Aarhus,Emden,1036,Denmark,Germany
Aarhus,Felixstowe,44776,Denmark,U.K.
Aarhus,Fredericia,260151,Denmark,Denmark
Aarhus,Frederikshavn,7434,Denmark,Denmark
Aarhus,Fredrikstad,3408,Denmark,Norway
Aarhus,Gavle,11754,Denmark,Sweden
Aarhus,Gdansk,22019,Denmark,Poland
Aarhus,Gdynia,37400,Denmark,Poland
Aarhus,Goteborg,537700,Denmark,Sweden
Aarhus,Halmstad,10793,Denmark,Sweden
Aarhus,Hamburg,149302,Denmark,Germany
Aarhus,Helsingborg,311303,Denmark,Sweden
Aarhus,Holtenau,8179,Denmark,Germany
Aarhus,Isle of Grain,2262,Denmark,U.K.
Aarhus,Kaliningrad,1736,Denmark,Russia
Aarhus,Kalundborg,13261,Denmark,Denmark
