,Eigenvector Centrality,Betweenness Centrality,Source_Country
's-Gravendeel,4.645296202652307e-06,0.00024986226344729144,Netherlands
Amsterdam,0.00019649388207627008,0.019176289909481416,Netherlands
Antwerpen,0.03272690580239351,24.638152519308992,Belgium
Bergambacht,1.990164309679085e-06,2.3500283700904872e-05,Netherlands
Bremerhaven,0.016656133457047206,0.006283109156331558,Germany
Gohyeon/Geoje,3.7571631846455545e-05,0.0,South Korea
Moerdijk,0.0004179704842015079,0.08298037932403428,Netherlands
Rotterdam,0.08545603934559745,0.1130121637763452,Netherlands
Aalborg,2.2237355125480106e-05,0.011187976319506089,Denmark
Aarhus,0.00030444845455715615,0.0006329832744835351,Denmark
Asnaesvaerkets Havn,3.457474350310616e-05,1.8900018900018897e-06,Denmark
Bilbao,0.00034925654291167925,0.02433563430849332,Spain
Brunsbuttel,4.010048725850379e-05,0.003110002774961934,Germany
Cape Town,0.006273211116128212,0.00252692357069686,South Africa
Drammen,5.5200198556146615e-05,0.0006951836545771268,Norway
Eemshaven,2.7957685573915958e-06,0.00012744012744012742,Netherlands
Esbjerg,6.652092484293048e-06,0.004456465662855881,Denmark
Fowey,6.665900955446004e-11,0.0032375907432470805,U.K.
Fredericia,0.00014672266340504356,0.0009139686596730152,Denmark
Frederikshavn,4.377291481180091e-08,0.002874185904700719,Denmark
Fredrikstad,0.00012978281689623222,0.00011259011259011258,Norway
Goteborg,0.0011591263282363933,0.0009899564984310746,Sweden
Halmstad,2.296959685237186e-05,0.00011502011502011501,Sweden
Halsvik,2.0613019906222987e-10,0.00010098010098010098,Norway
Hamburg,0.03378696238409108,0.008976885754938274,Germany
Hanstholm,3.2728283576241035e-09,0.00158017658017658,Denmark
Helsingborg,0.00040857194656414536,0.0014223186723186724,Sweden
Holtenau,3.407272738858382e-05,0.002066370381995935,Germany
Hull,0.00048715562131432797,0.01752088222723115,U.K.
Kalundborg,1.1434220045980807e-05,0.00035399810603501286,Denmark
Kobenhavn,8.437892482554893e-05,0.00046170046170046166,Denmark
Kristiansand,4.135933184730977e-05,0.0016125376237545663,Norway
Larvik,8.055433652954514e-05,0.00022502519229724427,Norway
Lindo,4.6170266790364384e-05,0.0005248805248805248,Denmark
Moss,0.0001894451427679598,0.001176390014340582,Norway
Murmansk,1.3719180401249543e-06,0.007796214765235562,Russia
Nerlerit Innat,2.7355243261255556e-09,9.450009450009449e-06,Greenland
Nuuk (Godthaab),9.688158700814343e-07,0.013602834915304573,Greenland
Reykjavik,0.00026999547384240713,0.0027022851904149685,Iceland
Ronne,2.24028762558735e-09,0.0010537055691179796,Denmark
Skagen,2.3123189421288775e-06,0.0008909335704753154,Denmark
Tasiilaq,1.2384498521171653e-08,0.000996030996030996,Greenland
