,Eigenvector Centrality,Betweenness Centrality,Source_Country
's-Gravendeel,5.051265222848801e-06,0.0002519469765347873,Netherlands
Amsterdam,0.00021181730878732112,0.01924805715441472,Netherlands
Antwerpen,0.035743751754673585,24.600419725700725,Belgium
Bergambacht,2.1713888166389565e-06,2.369613882890884e-05,Netherlands
Bremerhaven,0.01821998403313273,0.006327720561495035,Germany
Gohyeon/Geoje,3.7897497465178304e-05,0.0,South Korea
Moerdijk,0.00045438761873311,0.08358756745838582,Netherlands
Rotterdam,0.09018668312096455,0.11335670499479054,Netherlands
Aalborg,2.449770191896993e-05,0.011260591354581174,Denmark
Aarhus,0.0003391775260188022,0.0006369167990800281,Denmark
Asnaesvaerkets Havn,3.879295440040109e-05,1.9058136027173635e-06,Denmark
Bilbao,0.00038299428933570714,0.024441579269825642,Spain
Brunsbuttel,4.477119582340411e-05,0.0031324816169955735,Germany
Cape Town,0.006544363856070904,0.0025447963279944565,South Africa
Drammen,6.130569775427554e-05,0.0006980020062717095,Norway
Eemshaven,3.0444067985943595e-06,0.0001285062886403708,Netherlands
Esbjerg,7.241431314630811e-06,0.004475936611322448,Denmark
Fowey,7.561637935945271e-11,0.003265472146592973,U.K.
Fredericia,0.00016410908119317123,0.0009161690153033691,Denmark
Frederikshavn,4.9504709899912574e-08,0.0028747209022827944,Denmark
Fredrikstad,0.00014123191972969008,0.00011353203890473437,Norway
Goteborg,0.0012883634977607337,0.0009946990838043883,Sweden
Halmstad,2.5717155936131423e-05,0.00011598237067965669,Sweden
Halsvik,2.3371113239718775e-10,0.0001018248982023277,Norway
Hamburg,0.03678033020083461,0.00899256874830168,Germany
Hanstholm,3.66975663721062e-09,0.0015852285288316928,Denmark
Helsingborg,0.0004499080883669089,0.0014320396852104146,Sweden
Holtenau,3.7665309650989514e-05,0.0020782124062521524,Germany
Hull,0.0005295023842617971,0.017610590579101044,U.K.
Kalundborg,1.2496203131469795e-05,0.000356959646118151,Denmark
Kobenhavn,9.467987207639679e-05,0.0004652907781491392,Denmark
Kristiansand,4.534975766109339e-05,0.0016137748036977794,Norway
Larvik,8.939236047650649e-05,0.00022690723017131009,Norway
Lindo,5.047524768466673e-05,0.0005265490725221973,Denmark
Moss,0.00020702899628589127,0.0011834929337857767,Norway
Murmansk,1.4886888435349677e-06,0.0077887429300279466,Russia
Nerlerit Innat,3.1017431344074716e-09,9.529068013586818e-06,Greenland
Nuuk (Godthaab),1.083760051065277e-06,0.013633800573471126,Greenland
Reykjavik,0.0002933540912971769,0.002719715302380557,Iceland
Ronne,2.5413584932441975e-09,0.0010597875981710452,Denmark
Skagen,2.600956559682636e-06,0.0008953895615027652,Denmark
Tasiilaq,1.4035203575664472e-08,0.0010016411777710257,Greenland
Aalst,1.2071528177245454e-05,0.0,Belgium
Bronka Port,0.0003850723162818188,2.5592354093633167e-05,Russia
Emden,1.2633593001088828e-05,0.011012904918006269,Germany
Felixstowe,0.03330932469004021,0.0003770788342519355,U.K.
Gavle,1.7622701273196304e-05,0.0011878663926651225,Sweden
Gdansk,0.002497575427527452,0.00510683580938249,Poland
Gdynia,0.0009007856184780097,0.0020343439039306604,Poland
Isle of Grain,2.8013924585569698e-05,0.0002095901975101528,U.K.
Kaliningrad,5.732572688326393e-05,0.005635478035227055,Russia
Kiel,4.342515171833381e-05,0.009336169166768072,Germany
Klaipeda,0.0008784868743678171,0.008928042510685501,Lithuania
Kokkola (Karleby),1.4042505434034822e-05,0.0006779294469864939,Finland
Kollafjordur,6.758440222010293e-08,8.167772583074415e-07,Faroe Islands
Kotka,0.0007283016542507203,0.0005905299577562802,Finland
Landskrona,1.4193956210353685e-06,1.2251658874611622e-05,Sweden
Le Havre,0.019813140287990208,0.002514649574545125,France
Lubeck,9.90914910682739e-06,0.0008179784416512644,Germany
Muuga,0.00037735067662045426,0.0003006990776258262,Estonia
Norrkoping,0.0001330094606352366,0.00034066461001853966,Sweden
Nynashamn,6.834107095328142e-05,2.178072688819844e-06,Sweden
Rauma (Raumo),0.00014523802766559918,0.0006469064815142174,Finland
Riga,0.0003598726673114123,0.002212813419500196,Latvia
Runavik,6.699378067428695e-07,0.0006321992108842649,Faroe Islands
Saint Petersburg (Leningrad),0.0016084508240004306,0.03571301814509251,Russia
Stockholm,4.425499318967796e-06,2.178072688819844e-06,Sweden
Szczecin,4.5318217079063664e-05,0.0009520131543195175,Poland
Teesport,0.0007048446685717395,0.0015355719825215065,U.K.
Thorshavn,5.996764152613393e-06,0.000990576846812035,Faroe Islands
Ust-Luga,4.4126314912568506e-05,0.006976557707461234,Russia
Varberg,3.393939401357042e-06,0.0013917964277497846,Sweden
Wilhelmshaven,0.0033159082252916853,0.0016635647731466,Germany
Yantian Port,0.2798504166542742,0.49478621811433315,China
Zeebrugge,0.006785615535876726,0.005550576190152128,Belgium
Aasiaat (Egedesminde),6.802420490333691e-11,0.0010422077816002954,Greenland
Ilulissat (Jakobshavn),3.2219441863780105e-14,0.003627413195678586,Greenland
Narsaq,2.7572962878455876e-09,0.0027465698054488633,Greenland
Qasigiannguit (Christianshaab),3.0900207567011317e-12,0.0010890585543743504,Greenland
Qeqertarsuaq (Godhavn),8.817938971414549e-13,0.007000517083422895,Greenland
Saattut,5.832057449197343e-17,0.0002554059336358654,Greenland
Sisimiut (Holsteinsborg),1.7163920869903785e-10,0.001286209352693907,Greenland
Upernavik,7.131723382894683e-16,0.0015150955632078954,Greenland
Uummannaq,1.960598041441057e-16,1.8105229225814952e-05,Greenland
Abenra,1.202618798059738e-08,0.0015595000451950082,Denmark
Simrishamn,6.943761378393069e-14,0.0010367625998782457,Sweden
Aber Wrac'h,5.604957581557661e-10,0.0010394851907392707,France
Roscoff,4.231834360347679e-15,0.000823421518751688,France
Aberdeen,4.7682396552087994e-06,0.0005826233639360207,U.K.
Hong Kong,0.24450811311962822,2.869998688117959,"Hong Kong, S.A.R., China"
Jingjiang Port,3.244955492791299e-05,112.57575882900233,China
Peterhead,8.597354748014915e-10,0.0,U.K.
Xiamen Port,0.12526237245427202,0.8807385590388928,China
