Country,Eigenvector Centrality Difference
Malaysia,0.04602421146739382
India,0.013420859293623905
Sri Lanka,0.006836619652639818
United Arab Emirates,0.0068256535602296275
Singapore,0.005811680525913538
Germany,0.004917546738489426
Netherlands,0.004899173888653077
Thailand,0.00433484003060598
Indonesia,0.003962287258830329
Saudi Arabia,0.003920151417202865
Spain,0.0034615690403637456
Belgium,0.0034605734285394654
Morocco,0.00318982901373498
Brazil,0.0027223267223996117
France,0.0022348640929117283
U.K.,0.0020457108591508274
Italy,0.002010924327982685
Bangladesh,0.0019083338209355857
Greece,0.0018287953369180443
Pakistan,0.0016626639514650493
Oman,0.0015464289154916197
Egypt,0.0012230170694691217
Israel,0.0011277936710614982
Malta,0.0010557268269796574
South Africa,0.0009475115632562866
Bermuda,0.0008200364447174097
Ghana,0.0007959072666415422
Turkiye,0.0007802546573255719
Portugal,0.0007536533726556827
Kenya,0.0005924891981272713
Qatar,0.0005502201865090868
Djibouti,0.0005159875314573147
Myanmar,0.0004917372558794781
Mauritius,0.0003463975239461972
Canada,0.0003357536266633902
Poland,0.0003322337135919867
Togo,0.0003082959423832063
Nigeria,0.00028004012858700656
Slovenia,0.00024215405288343164
Tanzania,0.0002376560567008713
Dominica,0.0002286102214169583
Sweden,0.00020611751014499923
Republic of Ireland,0.00020106389737226148
Iraq,0.00018069287487478656
Russia,0.00017272784967056106
Kuwait,0.00015755182836212146
Lebanon,0.00015406385153302998
Cameroon,0.00014221767282073192
Bahrain,0.00011138813085604543
Reunion,0.00010665558521107707
Ivory Coast,0.00010497656078657685
Senegal,9.625905214186614e-05
Benin,9.095085594519408e-05
Brunei,8.74337745633935e-05
Jordan,8.31596529755885e-05
Lithuania,8.275274498332e-05
Norway,7.8977045280578e-05
Finland,7.859739235318842e-05
Denmark,7.51959046511274e-05
Algeria,6.360632568486375e-05
Uruguay,6.342155105616727e-05
Namibia,5.672281941909149e-05
Bahamas,5.545287761095953e-05
Seychelles,5.4062941998212735e-05
Cyprus,5.382704289901874e-05
Somali Republic,3.835916643177049e-05
Martinique,3.695745378821144e-05
Estonia,3.522535555990961e-05
Argentina,3.502111806346187e-05
Yemen,3.478776712492177e-05
Latvia,3.272076966240871e-05
Iran,3.0215430824386658e-05
Sierra Leone,2.7318210078472113e-05
Iceland,2.4739922034934746e-05
Libya,2.4590839811798025e-05
Mauritania,2.264975621083449e-05
Guinea,2.149501551323629e-05
Mozambique,2.1144612779847748e-05
Madagascar,1.9988603713097996e-05
Angola,1.879007824012427e-05
Sudan,1.8119035584176624e-05
Croatia,1.5328534485870293e-05
East Timor,1.3711848000038995e-05
Maldives,1.3401837000220316e-05
Romania,1.2853504673283985e-05
Tunisia,8.92258059999259e-06
St. Maarten,8.92064957787668e-06
Albania,8.681398554490438e-06
Gambia,7.653931867185714e-06
Mayotte,7.197891697618351e-06
Bulgaria,7.03635483671244e-06
Georgia,6.573435807359274e-06
Solomon Islands,5.416961953960614e-06
New Caledonia,5.07567412570379e-06
Montenegro,4.697147578931564e-06
Curacao,4.687323839275007e-06
Syria,4.366887413214033e-06
Dominican Republic,4.310680584967626e-06
Ukraine,4.025547876282015e-06
Liberia,3.362504624435194e-06
Honduras,2.9897376131249606e-06
Belize,2.8215528602148845e-06
Trinidad & Tobago,2.732234212674914e-06
Cuba,2.575489748843755e-06
Eritrea,2.4928944892730657e-06
Venezuela,2.2751549987117735e-06
Equatorial Guinea,2.2484168382321487e-06
Puerto Rico,1.5619566933353604e-06
Gabon,1.3865408277171453e-06
Aruba,1.2986588330355762e-06
Congo,1.2319049651149188e-06
Faroe Islands,6.791265224006375e-07
British Indian Ocean Territory,5.909004955634611e-07
Haiti,5.584449913584449e-07
Cape Verde,5.092873005848224e-07
Suriname,3.9452281831801266e-07
Guinea-Bissau,3.321149456145521e-07
Comoros,2.756271151261941e-07
"Virgin Islands, American",1.5146150408927887e-07
French Guiana,1.5106445093474207e-07
Greenland,1.1738172248151205e-07
Barbados,1.0595353314274943e-07
Cayman Islands,1.039064980274005e-07
Antigua & Barbuda,9.462534722347763e-08
Turks & Caicos Islands,9.270226026732373e-08
Samoa,4.246697801003298e-08
Sao Tome & Principe,2.7896239514905923e-08
St. Kitts-Nevis,2.338574012026434e-08
Jamaica,2.2897873149373135e-08
St. Lucia,1.754058772074636e-08
Grenada,8.785799631792421e-09
"Bonaire, St. Eustatius, Saba",6.971935534695066e-10
"Virgin Islands, British",1.7989255739874656e-10
St. Vincent & Grenadines,1.2159908127758016e-10
Wallis & Futuna,4.005758634091001e-11
Moldova,3.061210095948051e-11
Anguilla,6.693769550091335e-13
St. Barthelemy,3.939864753095755e-14
Serbia,2.728885264809936e-38
Austria,2.182798480410742e-99
