Index,Country,Eigenvector Centrality Difference
Port Klang (Pelabuhan Klang),Malaysia,0.038077120081775884
Colombo,Sri Lanka,0.006822395139122625
Singapore,Singapore,0.005806898406013006
Jawaharlal Nehru (Nhava Sheva),India,0.005302733840012036
Jebel Ali,United Arab Emirates,0.004920121450825432
Rotterdam,Netherlands,0.004730643775367097
Tanjung Pelepas,Malaysia,0.004465273360650807
Laem Chabang,Thailand,0.0037231132891495655
Tanger Med,Morocco,0.003052914224160895
Antwerpen,Belgium,0.0030168459522800714
Hamburg,Germany,0.0029933678167435307
Mundra,India,0.0025972996737198308
Tanjung Priok,Indonesia,0.0024652718079310187
Tianjin Xingang Port,China,0.002446608434063538
Jeddah,Saudi Arabia,0.002230596650352898
Penang,Malaysia,0.002218013426080863
Chittagong (Chattogram),Bangladesh,0.0018932403157244232
Felixstowe,U.K.,0.0018034870111298187
Piraeus,Greece,0.0017738229935143485
Algeciras,Spain,0.0016483126990481795
Chennai (ex Madras),India,0.0015764930566151414
Bremerhaven,Germany,0.001563850576085525
Le Havre,France,0.001545815388228837
Santos,Brazil,0.00122461252954488
Mina Khalifa/Abu Dhabi,United Arab Emirates,0.001214179903364353
King Abdullah Port,Saudi Arabia,0.0011289038891381907
Karachi,Pakistan,0.0011225310896695439
Salalah,Oman,0.0010963353504424324
Marsaxlokk,Malta,0.001053537647159243
Valencia,Spain,0.0010295933437358164
Gioia Tauro,Italy,0.00101735643095862
Kattupalli Port,India,0.0009982768254864754
Fremantle,Australia,0.0009339889674495477
Southampton,Bermuda,0.0008200357680789184
Port Pipavav,India,0.0008013165675568885
Tema,Ghana,0.0007953408471764872
"Belawan, Sumatra",Indonesia,0.0007938538153474568
Haifa,Israel,0.0007120394709662688
Bangkok,Thailand,0.0006598637449505371
Sines,Portugal,0.0006323489201494129
Rio de Janeiro,Brazil,0.0006042821636024383
Mombasa,Kenya,0.000592188767419774
"Johor, Pasir Gudang",Malaysia,0.0005920168711486366
La Spezia,Italy,0.0005778874159456816
Ad Dammam,Saudi Arabia,0.0005569361666386665
Durban,South Africa,0.0005489135220577909
Muhammad Bin Qasim/Karachi,Pakistan,0.0005390925374476972
Hamad,Qatar,0.000523071754444852
Djibouti,Djibouti,0.0005159875314573147
Dunkerque,France,0.0005100538361581426
Semarang,Indonesia,0.0004950432663959684
Yangon,Myanmar,0.0004917372558794781
Khor al Fakkan,United Arab Emirates,0.0004768344937129661
Zeebrugge,Belgium,0.0004250076053648041
Charleston,U.S.A.,0.00042455283527094434
Sohar,Oman,0.00042381650661056473
Ashdod,Israel,0.0004157542000952294
Kolkata (ex Calcutta),India,0.0004151956881080039
Barcelona,Spain,0.00041422174089215686
Halifax,Canada,0.00041292848981898823
Bayonne,U.S.A.,0.00041290021075576083
Dumyat (Damietta),Egypt,0.00040885089654208503
Port Said,Egypt,0.00036532760455872115
Hazira Port/Surat,India,0.00035975108400298746
Cochin,India,0.0003566046361400529
Port Louis,Mauritius,0.0003463975239461972
Norfolk,U.S.A.,0.00032335660361492054
Savannah,U.S.A.,0.00031235897648318814
Lome,Togo,0.0003082959423832063
Wilhelmshaven,Germany,0.0002922277819549057
Kamarajar/Ennore,India,0.00027589252889770495
Cape Town,South Africa,0.0002711527399426924
Lagos,Nigeria,0.0002572545369644878
Koper,Slovenia,0.00024215405288343164
Gdansk,Poland,0.00023824950514408786
Dar es Salaam,Tanzania,0.00023534692606903568
